dropoff_date,duration_in_minutes,weather_indicator
2009-05-10,19.116666666666667,1
2009-06-21,19,1
2009-06-21,18.533333333333335,1
2009-06-21,20.583333333333332,1
2009-06-07,21.9,1
2009-07-05,19,1
2009-07-26,19.966666666666665,1
2009-07-26,24.066666666666666,1
2009-07-26,19,1
2009-07-19,14,1
2009-08-09,24,0
2009-08-02,20,1
2009-08-16,45,1
2009-08-16,31,1
2009-08-23,20,0
2009-09-06,23.8,1
2009-10-04,20,1
2009-10-18,21.3,0
2009-11-29,18,1
2009-11-15,20,0
2009-11-22,17,1
2009-11-01,21,0
2009-12-06,21.116666666666667,1
2009-12-06,19.95,1
2009-12-27,22.616666666666667,0
2009-12-27,25,0
2009-12-13,6.9,1
2009-12-06,22,1
2009-12-20,17.933333333333334,0
2009-12-06,18.116666666666667,1
2009-12-06,28.116666666666667,1
2010-04-11,21.583333333333332,1
2010-04-04,19.716666666666665,1
2010-05-16,69.75,1
2010-05-30,18.566666666666666,1
2010-05-23,22.866666666666667,1
2010-05-09,21,1
2010-06-13,20.866666666666667,0
2010-07-04,20,1
2010-07-04,15,1
2010-07-11,16.7,1
2010-07-25,22,1
2010-07-11,21,1
2010-07-25,20,1
2010-07-18,22,1
2010-07-25,19.45,1
2010-08-15,5.1,0
2010-09-05,23,1
2010-09-19,11,1
2010-09-05,17,1
2010-10-31,19,1
2010-10-17,20,1
2010-10-17,19,1
2010-10-03,24.9,0
2010-10-31,20.333333333333332,1
2010-10-31,18,1
2010-11-21,25,1
2010-12-19,14,1
2010-12-26,20,1
2010-12-12,20.233333333333334,1
2010-12-05,16,1
2011-01-09,20,1
2011-01-09,17,1
2011-01-02,26.666666666666668,0
2011-02-20,16,1
2011-02-06,20,1
2011-02-13,20,1
2011-02-06,14.183333333333334,1
2011-02-27,20.15,1
2011-03-13,15,1
2011-03-27,22,1
2011-03-27,20,1
2011-03-06,27.216666666666665,1
2011-03-13,18.6,1
2011-04-17,18,0
2011-04-10,19.283333333333335,1
2011-04-10,13,1
2011-04-17,23.366666666666667,0
2011-04-03,19.433333333333334,1
2011-04-17,23.366666666666667,0
2011-04-03,24.816666666666666,1
2011-04-17,21.483333333333334,0
2011-04-03,21.65,1
2011-05-29,23,1
2011-05-29,22,1
2011-05-29,21.683333333333334,1
2011-06-26,19,1
2011-06-19,21.283333333333335,1
2011-07-10,20.716666666666665,1
2011-07-03,19,1
2011-07-17,30.183333333333334,1
2011-07-31,17,1
2011-07-24,23,0
2011-07-24,21,0
2011-07-24,20,0
2011-07-10,20,1
2011-08-07,21.816666666666666,0
2011-09-18,19,1
2011-09-04,25,1
2011-09-04,22,1
2011-10-23,29.7,1
2011-10-09,21,1
2011-10-23,15.383333333333333,1
2011-10-30,23.233333333333334,0
2011-11-13,20.483333333333334,1
2011-11-27,21,1
2011-11-13,15,1
2011-11-06,13,1
2011-11-06,14,1
2011-12-04,17.8,1
2011-12-18,16.9,1
2011-12-11,18.533333333333335,1
2011-12-04,27,1
2011-12-11,22.233333333333334,1
2011-12-25,27,1
2011-12-18,21.116666666666667,1
2012-01-08,19,1
2012-01-22,17,1
2012-01-01,17.183333333333334,0
2012-01-29,14.7,1
2012-02-26,15,1
2012-02-19,19,1
2012-02-26,14.316666666666666,1
2012-02-05,14.5,1
2012-04-08,19,1
2012-04-08,21.866666666666667,1
2012-04-01,23.15,1
2012-04-22,24,1
2012-04-15,21,1
2012-05-13,18.516666666666666,1
2012-05-27,24.2,0
2012-05-27,19.716666666666665,0
2012-05-13,18,1
2012-05-20,26,1
2012-05-20,26,1
2012-05-06,22.95,1
2012-05-06,23.766666666666666,1
2012-05-27,18.3,0
2012-05-13,24,1
2012-05-27,21,0
2012-06-17,16.65,1
2012-06-17,21.55,1
2012-06-17,21,1
2012-06-03,26,0
2012-07-15,24,0
2012-07-15,20,0
2012-07-08,23,0
2012-07-01,14,1
2012-07-08,16,0
2012-07-15,22,0
2012-07-01,26,1
2012-08-12,21.783333333333335,1
2012-08-19,15.533333333333333,1
2012-08-05,15,0
2012-08-26,20.666666666666668,1
2012-08-19,18,1
2012-08-19,17.333333333333332,1
2012-09-02,16.483333333333334,1
2012-09-09,26.8,1
2012-09-16,16,1
2012-09-16,21.366666666666667,1
2012-09-09,25,1
2012-09-09,14,1
2012-10-21,24,1
2012-10-28,19,1
2012-10-28,16.716666666666665,1
2012-10-28,18.316666666666666,1
2012-10-21,19,1
2012-10-21,18.016666666666666,1
2012-10-14,22.933333333333334,1
2012-10-21,21,1
2012-10-14,25.033333333333335,1
2012-10-07,21,0
2012-11-18,22,1
2012-11-25,19.066666666666666,1
2012-12-02,27,0
2012-12-09,25.466666666666665,0
2012-12-02,24,0
2012-12-30,20.683333333333334,1
2012-12-02,20,0
2012-12-02,29,0
2012-12-23,15.866666666666667,1
2012-12-16,19.433333333333334,1
2012-12-09,24,0
2013-01-06,21.433333333333334,1
2013-01-27,19.116666666666667,1
2013-01-20,26,1
2013-02-10,35,1
2013-02-03,22,0
2013-02-17,19.416666666666668,1
2013-02-17,21,1
2013-03-03,16.85,1
2013-03-10,14,1
2013-03-24,23,1
2013-03-17,16,1
2013-03-10,19,1
2013-03-24,20,1
2013-03-03,20,1
2013-03-03,23,1
2013-04-28,23,1
2013-04-14,20,1
2013-04-21,24,1
2013-04-14,16.816666666666666,1
2013-05-12,18,1
2013-05-12,18.866666666666667,1
2013-05-26,14.7,1
2013-05-05,19,1
2013-05-19,15.783333333333333,1
2013-06-23,22.166666666666668,1
2013-06-16,22.166666666666668,1
2013-07-21,17,1
2013-07-07,14.3,1
2013-08-25,22.883333333333333,1
2013-08-25,25.033333333333335,1
2013-08-18,22.066666666666666,1
2013-08-25,19,1
2013-09-15,24,1
2013-09-22,19.466666666666665,1
2013-09-01,23,1
2013-09-08,19.483333333333334,1
2013-10-20,24,1
2013-10-27,14.316666666666666,1
2013-10-27,22.683333333333334,1
2013-10-06,21,1
2013-10-27,22.083333333333332,1
2013-10-27,19,1
2013-10-20,16.35,1
2013-10-06,17,1
2013-10-27,14,1
2013-11-17,20,0
2013-11-24,22.633333333333333,1
2013-12-01,30.266666666666666,1
2013-12-08,25,0
2013-12-15,8,1
2013-12-08,22.9,0
2013-12-29,19,1
